period,region,qty_bills,total_bills,qty_pays,total_pays,qty_pay_adjust,qty_sb,sb_total,qty_incs,total_incs,qty_pfs,total_pfs,pays_vs_bills,%_real_apparent_delinquency,bills_vs_qty_sbs,cost_per_prop,total_inc_per_prop,qty_pf_per_prop,totla_pf_per_prop
2022-08-01,Región del Bío Bío,5783.0,598108852,5287,319201113,480,1067,311029902,0,0,1197,14754427,0.831229465675255,53.368398065441106,0.18450631160297423,53783.48642573059,0.0,0.20698599342901608,2551.3448037350854
2022-08-01,Región del Libertador General Bernardo O’Higgins,996.0,91705262,894,52688539,77,170,48842956,0,0,182,1402441,0.820281124497992,57.45421565885718,0.1706827309236948,49039.1124497992,0.0,0.1827309236947791,1408.0732931726907
2022-08-01,Región del Maule,610.0,45234488,606,30481914,99,58,27197443,0,0,2,132426,0.8311475409836065,67.38644637693257,0.09508196721311475,44585.972131147544,0.0,0.003278688524590164,217.09180327868853
2022-08-01,Santiago Metropolitan Region,2792.0,1755732127,2003,275589832,133,563,277795714,0,0,1411,106985895,0.6697707736389685,15.69657624656543,0.20164756446991405,99497.03223495702,0.0,0.5053724928366762,38318.7303008596
2022-08-01,Tarapacá,5126.0,1151318750,4432,424067489,557,1334,425861118,4,316702,924,29843867,0.7559500585251658,36.83319575921091,0.26024190401872804,83078.64182598518,0.07436743732025801,0.18025751072961374,5822.057549746391
2022-08-01,Valparaiso Region,1347.0,870415090,885,105945499,66,252,110784386,0,0,95,1921150,0.6080178173719376,12.171836198290174,0.1870824053452116,82245.27542687453,0.0,0.07052709725315516,1426.2435040831476
2022-08-01,Valparaíso,34971.0,6838696767,30045,2958784710,2687,9105,2926682981,14,18407187,11321,150368744,0.7823053387092163,43.265329796132484,0.2603585828257699,83688.85593777701,0.6289436580422032,0.32372537245145977,4299.812530382317
2022-08-01,Valparíso,192.0,53058957,198,31445068,27,65,27370541,0,0,121,1153360,0.890625,59.26439149567151,0.3385416666666667,142554.90104166666,0.0,0.6302083333333334,6007.083333333333
2022-08-01,desconocido,5033.0,1894599091,4110,473849851,297,1044,439095176,0,0,1211,12758805,0.7575998410490761,25.01056045318244,0.20743095569242997,87243.2298827737,0.0,0.24061196105702365,2535.029803298232
2022-08-01,Ñuble,274.0,27902292,171,15697612,1,42,14279108,0,0,31,1919896,0.6204379562043796,56.2592205686902,0.15328467153284672,52113.53284671533,0.0,0.11313868613138686,7006.919708029197
2022-09-01,Antofagasta,8066.0,1180795843,6770,565903860,734,1614,558250015,0,0,2058,37555623,0.7483263079593355,47.92563112029858,0.2000991817505579,69210.26717084057,0.0,0.25514505331019094,4656.040540540541
2022-09-01,Araucania,398.0,302736958,259,26532700,13,102,25539245,1,50000,130,2149505,0.6180904522613065,8.76427515665266,0.2562814070351759,64168.95728643216,0.19577712653604284,0.32663316582914576,5400.766331658291
2022-09-01,Araucanía,7916.0,1387082309,6718,614914776,662,2039,591215935,2,7550513,2223,93292072,0.7650328448711471,44.33152755320737,0.2575795856493178,74686.19694290045,1.2771159491836093,0.2808236483072259,11785.254168772108
2022-09-01,Arica y Parinacota,2736.0,300673804,2247,154179547,25,440,148560713,0,0,938,4897719,0.8121345029239766,51.27801123638959,0.1608187134502924,54298.506213450295,0.0,0.3428362573099415,1790.1019736842106
2022-09-01,Atacama,946.0,29865714,233,14567987,4,74,13333382,0,0,116,2671448,0.24207188160676532,48.77829808455274,0.07822410147991543,14094.484143763213,0.0,0.1226215644820296,2823.940803382664
2022-09-01,Aysén,179.0,13699739,177,5453287,50,39,6129871,0,0,0,0,0.7094972067039106,39.805772942097654,0.21787709497206703,34245.08938547486,0.0,0.0,0.0
2022-09-01,Bio Bio,364.0,22570919,258,12851006,1,93,15559143,0,0,22,135000,0.7060439560439561,56.93612209587036,0.2554945054945055,42744.89835164835,0.0,0.06043956043956044,370.8791208791209
2022-09-01,Bío Bío,16791.0,1993721121,14050,848275157,1058,3404,806104764,2,165000,3751,39377896,0.7737478411053541,42.5473326266678,0.20272765171818236,48008.145077720204,0.020468803481727096,0.22339348460484784,2345.1787266988267
2022-09-01,Coquimbo,7558.0,2664696711,6008,694459752,413,1484,650944154,1,2300000,2203,68888208,0.7402752050807092,26.061493194825353,0.1963482402752051,86126.50886477904,0.353332922012846,0.2914792273088119,9114.60809738026
2022-09-01,Los Lagos,8218.0,1159467150,6293,470991021,337,1748,481036444,2,147631,2133,23799814,0.7247505475784862,40.62133377388053,0.21270382088099293,58534.49063032368,0.030690190284210564,0.25955220248235583,2896.059138476515
2022-09-01,Los Ríos,1317.0,204086198,1076,104555520,81,411,112626971,0,0,55,1198063,0.7555049354593774,51.231058750969524,0.3120728929384966,85517.82156416097,0.0,0.04176157934700076,909.6909643128322
2022-09-01,Los Ríos Region,472.0,1440485087,263,151625825,18,19,10731046,0,0,1479,432891691,0.5190677966101694,10.526025320802228,0.04025423728813559,22735.26694915254,0.0,3.1334745762711864,917143.4131355932
2022-09-01,Los lagos,160.0,7382436,153,4844826,19,19,4812531,0,0,5,167754,0.8375,65.62638673738587,0.11875,30078.31875,0.0,0.03125,1048.4625
2022-09-01,Magallanes y la Antártica Chilena,45.0,18023163,45,17908409,0,46,16578810,0,0,20,983985,1.0,99.36329710828227,1.0222222222222221,368418.0,0.0,0.4444444444444444,21866.333333333332
2022-09-01,Maule,2422.0,180913665,2028,93484197,78,318,92689402,1,10000,427,2880202,0.8051197357555739,51.673375253328715,0.13129644921552436,38269.77786952932,0.01078871994448729,0.17630057803468208,1189.1833195706029
2022-09-01,O'Higgins,2671.0,442269236,2126,148706248,206,539,145579379,0,0,399,7018542,0.7188318981654811,33.62346640814059,0.2017970797454137,54503.69861475103,0.0,0.14938225383751405,2627.683264694871
2022-09-01,RM,431.0,117217915,443,44115450,50,123,40607835,1,30000,241,2438440,0.9118329466357309,37.6354160539368,0.2853828306264501,94217.71461716937,0.07387736873930856,0.5591647331786543,5657.633410672854
2022-09-01,Región Metropolitana,285353.0,62497533702,264856,29388131161,28931,79326,29362030323,125,116908350,116520,1511325658,0.8267829670618497,47.02286541598287,0.27799252154349174,102897.2196647661,0.3981616690465128,0.4083363413035784,5296.337021163261
2022-09-01,Región de Antofagasta,3344.0,683221315,3040,243324052,321,446,214824672,0,0,472,12132180,0.8130980861244019,35.61423606931818,0.13337320574162678,64241.82775119617,0.0,0.14114832535885166,3628.0442583732056
2022-09-01,Región de Arica y Parinacota,600.0,69221222,556,42921305,41,134,38435408,0,0,140,2313360,0.8583333333333333,62.00599145735971,0.22333333333333333,64059.013333333336,0.0,0.23333333333333334,3855.6
2022-09-01,Región de Atacama,0.0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2022-09-01,Región de Coquimbo,3327.0,579319216,2803,195192982,363,623,177141975,0,0,587,6364886,0.7333934475503456,33.69351069480147,0.18725578599338744,53243.75563570784,0.0,0.17643522693116923,1913.1006913134956
2022-09-01,Región de Tarapacá,3285.0,470089892,2994,252199631,300,746,280568209,3,140587,606,9254288,0.8200913242009132,53.64923502758489,0.22709284627092846,85408.89162861492,0.05010795788342506,0.18447488584474886,2817.1348554033484
